F_Data.F04.2.0001	SHOOT
F_Data.F04.2.0002	I LOOKED UP AND NOTICED TWO OLD MEN
F_Data.F04.2.0003	SLAY
F_Data.F04.2.0004	WILL ROBIN WEAR A YELLOW LILY 
F_Data.F04.2.0005	I WAS CONSCIOUS ALL THE TIME
F_Data.F04.2.0006	PRIOR
F_Data.F04.2.0007	PLAY
F_Data.F04.2.0008	BRIAR
F_Data.F04.2.0010	SHEAR
F_Data.F04.2.0011	SUIT
F_Data.F04.2.0013	ALL THE BIG BASEBALL PLAYERS GET TRADED
F_Data.F04.2.0014	THIS WAS EASY FOR US 
F_Data.F04.2.0015	FEAR
F_Data.F04.2.0016	FEAR
F_Data.F04.2.0017	SPRINKLE
F_Data.F04.2.0018	SNOOP
F_Data.F04.2.0019	I SCRUBBED THE FLOORS THOROUGHLY
F_Data.F04.2.0020	BOOT
F_Data.F04.2.0021	BOOT
F_Data.F04.2.0022	ROCKS
F_Data.F04.2.0023	WITCH
F_Data.F04.2.0026	THOUGH
F_Data.F04.2.0027	GALORE
F_Data.F04.2.0028	I TRIED TO TELL PEOPLE IN THE COMMUNITY
F_Data.F04.2.0029	GNAW
F_Data.F04.2.0030	CYCLE
F_Data.F04.2.0031	DELTA
F_Data.F04.2.0032	SHE IS THINNER THAN I AM 
F_Data.F04.2.0033	BEAR
F_Data.F04.2.0034	ERROR
F_Data.F04.2.0035	JUNGLE
F_Data.F04.2.0036	NOTHING IS AS OFFENSIVE AS INNOCENCE 
F_Data.F04.2.0037	MENU
F_Data.F04.2.0038	PEER
F_Data.F04.2.0039	LIP
F_Data.F04.2.0040	DOT
F_Data.F04.2.0041	WE GATHERED SHELLS ON THE BEACH
F_Data.F04.2.0042	I FEEL I CAN PLAY THIS WEEKEND
F_Data.F04.2.0043	TIE
F_Data.F04.2.0044	TIE
F_Data.F04.2.0045	SIGH
F_Data.F04.2.0046	MERE
F_Data.F04.2.0047	EVERYTHING WENT REAL SMOOTH THE SHERIFF SAID 
F_Data.F04.2.0048	PAD
F_Data.F04.2.0049	SIGH
F_Data.F04.2.0050	SIGH
F_Data.F04.2.0051	SIDE
F_Data.F04.2.0052	THEIR HOUSE IS GREY AND WHITE
F_Data.F04.2.0053	ARE YOUR GRADES HIGHER OR LOWER THAN NANCY'S 
F_Data.F04.2.0054	URGENT
F_Data.F04.2.0055	THE HUMIDITY IS OVERWHELMING THERE
F_Data.F04.2.0056	EXPLORE
F_Data.F04.2.0057	THEY CARRIED ME OFF ON THE STRETCHER
F_Data.F04.2.0058	ONE VALIDATED ACTS OF SCHOOL DISTRICTS 
F_Data.F04.2.0059	LOOP
F_Data.F04.2.0060	YES
F_Data.F04.2.0061	FLOOR
F_Data.F04.2.0062	JANE MAY EARN MORE MONEY BY WORKING HARD 
F_Data.F04.2.0063	BACK
F_Data.F04.2.0064	SIGH
F_Data.F04.2.0065	WRITE
F_Data.F04.2.0066	WRITE
F_Data.F04.2.0067	FOUR
F_Data.F04.2.0068	FRUIT
F_Data.F04.2.0069	FRUIT
F_Data.F04.2.0070	WITCH
F_Data.F04.2.0071	HIM
F_Data.F04.2.0072	NIGHT AFTER NIGHT THEY RECEIVED ANNOYING PHONE CALLS
F_Data.F04.2.0073	AND
F_Data.F04.2.0074	SPARK
F_Data.F04.2.0075	HEM
F_Data.F04.2.0076	SEEDS
F_Data.F04.2.0077	SIGN
F_Data.F04.2.0078	NOVEMBER
F_Data.F04.2.0079	ALFALFA IS HEALTHY FOR YOU
F_Data.F04.2.0080	MUSH
F_Data.F04.2.0081	OSCAR
F_Data.F04.2.0082	SELL
F_Data.F04.2.0083	THE MISGUIDED SOULS HAVE LOST THEIR WAY
F_Data.F04.2.0084	FIVE
F_Data.F04.2.0085	IF YOU ARE LOSING WATER REPLACE IT IMMEDIATELY
F_Data.F04.2.0086	HILL
F_Data.F04.2.0087	FITTING
F_Data.F04.2.0088	SWING YOUR ARM AS HIGH AS YOU CAN
F_Data.F04.2.0089	PIT
F_Data.F04.2.0090	ZERO
F_Data.F04.2.0091	MUCH
F_Data.F04.2.0092	FAT
F_Data.F04.2.0093	THOUGHT
F_Data.F04.2.0094	DARN
F_Data.F04.2.0095	GOLF
F_Data.F04.2.0096	I EXPECT WE'LL BOUNCE BACK THIS WEEK
F_Data.F04.2.0097	SPIT
F_Data.F04.2.0098	MITTEN
F_Data.F04.2.0099	DARK
F_Data.F04.2.0100	SIX
F_Data.F04.2.0101	WHEN ALL ELSE FAILS USE FORCE
F_Data.F04.2.0102	BROUGHT
F_Data.F04.2.0103	ALIMONY HARMS A DIVORCED MAN'S WEALTH
F_Data.F04.2.0104	PIT
F_Data.F04.2.0105	HAT
F_Data.F04.2.0106	SEED
F_Data.F04.2.0107	SERGEANT
F_Data.F04.2.0108	CARL LIVES IN A LOVELY HOME
F_Data.F04.2.0109	CARL LIVES IN A LIVELY HOME 
F_Data.F04.2.0110	DART
F_Data.F04.2.0111	HUM
F_Data.F04.2.0112	PITTING
F_Data.F04.2.0113	SIDE
F_Data.F04.2.0114	REEK
F_Data.F04.2.0115	IT ALSO PROVIDES FOR FUNDS TO CLEAR SLUMS AND HELP COLLEGES BUILD DORMITORIES
F_Data.F04.2.0116	PART
F_Data.F04.2.0117	BLOAT
F_Data.F04.2.0118	IT WAS A GOOD WIN FOR US
F_Data.F04.2.0119	NOTHING HAS BEEN DONE YET TO TAKE ADVANTAGE OF THE ENABLING LEGISLATION
F_Data.F04.2.0120	ALUMINUM SILVERWARE CAN OFTEN BE FLIMSY
F_Data.F04.2.0121	SHY
F_Data.F04.2.0122	LAIR
